Album Name,Track Number,Track Name,Track Duration (ms),Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Album URI,Track URI
1989 (Taylor's Version) [Deluxe],1,Welcome To New York (Taylor's Version),212600,False,79,0.00942,0.757,0.61,3.66e-05,7,0.367,-4.84,0.0327,116.998,4,0.685,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:4WUepByoeqcedHoYhSNHRt
1989 (Taylor's Version) [Deluxe],2,Blank Space (Taylor's Version),231833,False,79,0.0885,0.733,0.733,0.0,0,0.168,-5.376,0.067,96.057,4,0.701,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:0108kcWLnn2HlH2kedi1gn
1989 (Taylor's Version) [Deluxe],3,Style (Taylor's Version),231000,False,80,0.000421,0.511,0.822,0.0197,11,0.0899,-4.785,0.0397,94.868,4,0.305,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
1989 (Taylor's Version) [Deluxe],4,Out Of The Woods (Taylor's Version),235800,False,79,0.000537,0.545,0.885,5.59e-05,0,0.385,-5.968,0.0447,92.021,4,0.206,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
1989 (Taylor's Version) [Deluxe],5,All You Had To Do Was Stay (Taylor's Version),193289,False,78,0.000656,0.588,0.721,0.0,0,0.131,-5.579,0.0317,96.997,4,0.52,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
1989 (Taylor's Version) [Deluxe],6,Shake It Off (Taylor's Version),219209,False,77,0.0121,0.636,0.808,2.18e-05,7,0.359,-5.693,0.0729,160.058,4,0.917,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:50yNTF0Od55qnHLxYsA5Pw
1989 (Taylor's Version) [Deluxe],7,I Wish You Would (Taylor's Version),207650,False,77,0.00354,0.67,0.858,1.25e-05,0,0.0687,-6.528,0.0439,118.009,4,0.539,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:3FxJDucHWdw6caWTKO5b23
1989 (Taylor's Version) [Deluxe],8,Bad Blood (Taylor's Version),211103,False,77,0.0362,0.618,0.683,0.0,7,0.305,-6.438,0.194,169.971,4,0.363,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:7oZONwFiFIErZcXAtTu7FY
1989 (Taylor's Version) [Deluxe],9,Wildest Dreams (Taylor's Version),220433,False,77,0.0436,0.589,0.674,7.18e-05,8,0.112,-7.48,0.0656,139.985,4,0.514,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:27exgla7YBw9DUNNcTIpjy
1989 (Taylor's Version) [Deluxe],10,How You Get The Girl (Taylor's Version),247533,False,77,0.00196,0.758,0.691,1.09e-05,5,0.0939,-5.798,0.0515,119.997,4,0.538,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:733OhaXQIHY7BKtY3vnSkn
1989 (Taylor's Version) [Deluxe],11,This Love (Taylor’s Version),250100,False,76,0.316,0.471,0.509,0.0,1,0.0673,-8.796,0.0355,144.071,4,0.0567,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
1989 (Taylor's Version) [Deluxe],12,I Know Places (Taylor's Version),195700,False,77,0.0999,0.582,0.788,0.0,0,0.115,-5.358,0.0445,160.027,4,0.652,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:1ULabO0PEsdJekqVH6G10G
1989 (Taylor's Version) [Deluxe],13,Clean (Taylor's Version),271000,False,77,0.25,0.772,0.391,2.92e-05,4,0.0981,-8.892,0.0293,103.955,4,0.258,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:0lKUBmEyQfzsQHozyeXzES
1989 (Taylor's Version) [Deluxe],14,Wonderland (Taylor's Version),245566,False,77,0.00976,0.464,0.705,2.61e-05,3,0.209,-5.97,0.0434,183.892,4,0.385,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:6HRsJu8vcnzYDN4t0570FY
1989 (Taylor's Version) [Deluxe],15,You Are In Love (Taylor's Version),267389,False,77,0.61,0.363,0.498,3.91e-06,9,0.112,-9.473,0.0755,84.68,4,0.477,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:0TyGh27YQ5LknmiDhCzJiT
1989 (Taylor's Version) [Deluxe],16,New Romantics (Taylor's Version),230177,False,78,0.00675,0.649,0.846,4.63e-06,5,0.0824,-5.958,0.0602,121.978,4,0.698,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:5M787RexsAiVYjQusM98CV
1989 (Taylor's Version) [Deluxe],17,"""Slut!"" (Taylor's Version) (From The Vault)",180381,False,82,0.309,0.591,0.412,0.000199,2,0.0608,-13.27,0.0863,155.875,4,0.328,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:0CD7DzeCsuPJygddqlUVYa
1989 (Taylor's Version) [Deluxe],18,Say Don't Go (Taylor's Version) (From The Vault),279833,False,82,0.066,0.633,0.551,9.94e-06,4,0.127,-8.297,0.0341,109.95,4,0.164,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:3CCRVu4F91Qp2mnGjmWBrf
1989 (Taylor's Version) [Deluxe],19,Now That We Don't Talk (Taylor's Version) (From The Vault),146436,False,84,0.16,0.8,0.501,7.14e-05,0,0.0874,-9.332,0.034,110.013,4,0.0831,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:5QUIK7ZtziW8kGWo8RqopF
1989 (Taylor's Version) [Deluxe],20,Suburban Legends (Taylor's Version) (From The Vault),171818,False,80,0.207,0.701,0.625,0.0,0,0.105,-8.804,0.036,118.036,4,0.323,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:6M9ppdfFjR1AbpUl3Y8DcV
1989 (Taylor's Version) [Deluxe],21,Is It Over Now? (Taylor's Version) (From The Vault),229477,False,85,0.041,0.595,0.656,0.0,0,0.122,-7.343,0.037,99.994,4,0.191,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:6IG3sQ8s9nfk6TUlVzRhbN
1989 (Taylor's Version) [Deluxe],22,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),199773,False,83,0.0104,0.602,0.648,0.0,2,0.217,-6.905,0.103,170.091,4,0.174,spotify:album:1o59UpKw81iHR0HPiSkJR0,spotify:track:6qAcApH8obo8eqatCKUHd9
Speak Now (Taylor's Version),1,Mine (Taylor's Version),231706,False,82,0.00444,0.646,0.783,1.38e-06,7,0.171,-2.846,0.0356,121.08,4,0.49,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:7G0gBu6nLdhFDPRLc0HdDG
Speak Now (Taylor's Version),2,Sparks Fly (Taylor’s Version),261230,False,79,0.0251,0.588,0.758,0.0,5,0.131,-2.347,0.0305,114.991,4,0.387,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:3MytWN8L7shNYzGl4tAKRp
Speak Now (Taylor's Version),3,Back To December (Taylor's Version),294189,False,83,0.00621,0.497,0.635,0.0,2,0.117,-3.927,0.0273,142.063,4,0.203,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:79uDOz0zuuWS7HWxzMmTa2
Speak Now (Taylor's Version),4,Speak Now (Taylor's Version),242473,False,78,0.248,0.727,0.677,0.0,7,0.143,-2.871,0.0325,118.995,4,0.639,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:5xXqyjLicvEpch72qEryFT
Speak Now (Taylor's Version),5,Dear John (Taylor's Version),405906,False,78,0.0236,0.419,0.47,0.0,4,0.163,-5.016,0.0296,119.294,3,0.133,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:1zU8j1x3yi9xalMF96pzKp
Speak Now (Taylor's Version),6,Mean (Taylor's Version),238693,False,78,0.311,0.524,0.692,0.0,4,0.192,-3.866,0.0369,163.874,4,0.621,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j
Speak Now (Taylor's Version),7,The Story Of Us (Taylor's Version),267653,False,77,0.00192,0.515,0.781,0.0,4,0.054,-2.608,0.0535,139.846,4,0.57,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:6dTA6y0C2ReQklntzZl8l3
Speak Now (Taylor's Version),8,Never Grow Up (Taylor's Version),292920,False,73,0.851,0.685,0.323,0.0,2,0.198,-7.103,0.0289,125.058,4,0.569,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:2EFZ9emtKWEglWUQGEQ3P9
Speak Now (Taylor's Version),9,Enchanted (Taylor's Version),353253,False,87,0.012,0.505,0.532,0.0,8,0.149,-3.526,0.0265,81.907,4,0.216,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:3sW3oSbzsfecv9XoUdGs7h
Speak Now (Taylor's Version),10,Better Than Revenge (Taylor's Version),220306,False,80,0.000886,0.496,0.885,0.0,11,0.191,-2.969,0.0803,145.863,4,0.665,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:0NwGC0v03ysCYINtg6ns58
Speak Now (Taylor's Version),11,Innocent (Taylor's Version),301221,False,71,0.101,0.522,0.598,0.0,1,0.152,-5.327,0.0284,133.627,4,0.149,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:12nBPF4Rh4XLFJV0YLN7uj
Speak Now (Taylor's Version),12,Haunted (Taylor's Version),245413,False,76,0.00667,0.427,0.915,0.0,5,0.221,-1.909,0.0619,162.201,4,0.355,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4tMzIAFTFdqGBQLdfbPces
Speak Now (Taylor's Version),13,Last Kiss (Taylor's Version),369120,False,76,0.447,0.55,0.366,4.43e-06,10,0.101,-8.46,0.0276,79.401,3,0.16,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:59KOoHFcw5XfICnO57holu
Speak Now (Taylor's Version),14,Long Live (Taylor's Version),317960,False,80,0.0122,0.375,0.65,0.0,0,0.189,-4.031,0.0402,203.89,4,0.0752,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs
Speak Now (Taylor's Version),15,Ours (Taylor’s Version),235803,False,73,0.449,0.535,0.488,0.0,0,0.111,-8.261,0.0278,159.813,4,0.348,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:3yNJkriPzWjkkDAWHIAVUq
Speak Now (Taylor's Version),16,Superman (Taylor’s Version),274945,False,70,0.0031,0.533,0.742,0.0,7,0.108,-3.473,0.0303,131.93,4,0.356,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4evLyY5Ue1Wesc61t2KXAU
Speak Now (Taylor's Version),17,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),266466,False,76,0.0164,0.547,0.855,0.0,7,0.144,-4.7,0.0597,131.073,4,0.282,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ
Speak Now (Taylor's Version),18,When Emma Falls in Love (Taylor’s Version) (From The Vault),252385,False,75,0.159,0.474,0.763,0.0,2,0.138,-4.632,0.0505,78.133,4,0.231,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:0zo975x58DlXbZllWvfYhg
Speak Now (Taylor's Version),19,I Can See You (Taylor’s Version) (From The Vault),273186,False,84,0.0586,0.694,0.764,0.0,6,0.0608,-4.893,0.0337,123.044,4,0.819,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:5kHMfzgLZP95O9NBy0ku4v
Speak Now (Taylor's Version),20,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),306062,False,76,0.362,0.576,0.57,0.0,7,0.0668,-7.925,0.0434,147.803,4,0.378,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4ABYxlb92WBIjHu7TIKmml
Speak Now (Taylor's Version),21,Foolish One (Taylor’s Version) (From The Vault),311765,False,77,0.617,0.671,0.588,0.0,7,0.111,-4.675,0.0299,96.965,4,0.543,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU
Speak Now (Taylor's Version),22,Timeless (Taylor’s Version) (From The Vault),321396,False,76,0.3,0.624,0.585,0.0,3,0.0916,-5.847,0.0328,142.883,4,0.65,spotify:album:5AEDGbliTTfjOB8TSm1sxt,spotify:track:1HCdems7PQZRj42QDWLA0A
Midnights (The Til Dawn Edition),1,Lavender Haze,202395,True,70,0.236,0.735,0.454,0.00113,7,0.133,-10.516,0.0876,97.043,4,0.0751,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:24emu3sabKISjRkrys28jq
Midnights (The Til Dawn Edition),2,Maroon,218270,True,70,0.0609,0.65,0.397,1.4e-06,7,0.089,-8.237,0.0365,108.055,4,0.0382,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:6qxvy9Pe4RJIq5JBVbbwbS
Midnights (The Til Dawn Edition),3,Anti-Hero,200690,False,69,0.115,0.637,0.649,1.22e-06,4,0.147,-6.59,0.0584,96.935,4,0.497,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:5qIHFdkW6phMsTZlN2g8Lc
Midnights (The Til Dawn Edition),4,Snow On The Beach (feat. Lana Del Rey),256124,True,67,0.705,0.653,0.331,0.0013,9,0.116,-13.534,0.039,110.014,4,0.166,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:7GA86Uo2jYbj8vIXe2nyWd
Midnights (The Til Dawn Edition),5,"You're On Your Own, Kid",194206,False,70,0.423,0.694,0.386,1.05e-05,2,0.126,-10.312,0.0597,120.044,4,0.39,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:6PQOU00xWNrGwCZzboriXy
Midnights (The Til Dawn Edition),6,Midnight Rain,174782,False,70,0.705,0.654,0.372,6.78e-05,0,0.114,-11.704,0.0667,140.15,4,0.198,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:4eKMqf9ZMSclDX7V9Ptg7x
Midnights (The Til Dawn Edition),7,Question...?,210556,True,68,0.205,0.741,0.509,0.0,7,0.262,-8.747,0.19,108.978,4,0.113,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:7oomkQSYf1ia2VnVEWfFIU
Midnights (The Til Dawn Edition),8,Vigilante Shit,164801,True,69,0.157,0.867,0.272,3.42e-05,4,0.118,-11.014,0.363,79.962,4,0.157,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:0GKDhq6ZbmSbRHd3eyGlB7
Midnights (The Til Dawn Edition),9,Bejeweled,194165,False,69,0.0648,0.695,0.546,0.000128,7,0.0883,-9.184,0.066,164.0,4,0.425,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:0VpF6RLdCfPIeYRwMu4tZK
Midnights (The Til Dawn Edition),10,Labyrinth,247962,False,68,0.804,0.493,0.308,0.328,0,0.123,-15.489,0.0436,109.993,4,0.13,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:4bBDkw2KBMX0tcgAaXC83Q
Midnights (The Til Dawn Edition),11,Karma,204852,True,69,0.0782,0.647,0.614,0.0,8,0.611,-7.091,0.0651,90.034,4,0.0956,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:45R112Jz5hQeKgITXgSXzs
Midnights (The Til Dawn Edition),12,Sweet Nothing,188496,False,67,0.967,0.335,0.166,0.00012,0,0.115,-14.958,0.048,175.917,4,0.391,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:2L09RYwH5Pjzca6PmbUAw3
Midnights (The Til Dawn Edition),13,Mastermind,191039,False,68,0.545,0.661,0.345,0.000915,4,0.0871,-14.037,0.144,125.977,4,0.126,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:1QQii3pa5m8MEda0nbkjfw
Midnights (The Til Dawn Edition),14,The Great War,240355,False,68,0.203,0.573,0.737,2.78e-05,5,0.0851,-9.002,0.0352,96.009,4,0.592,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:2VuqMjgoKaOHNM8HpxtXKx
Midnights (The Til Dawn Edition),15,Bigger Than The Whole Sky,218502,False,67,0.837,0.48,0.22,0.00269,6,0.116,-12.469,0.0425,82.951,4,0.0633,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:71CBDRKmF2VeRKYMG1DFBh
Midnights (The Til Dawn Edition),16,Paris,196258,False,66,0.116,0.691,0.498,3.07e-05,7,0.136,-10.519,0.101,110.963,4,0.454,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:5tWxKWq1DSP1s9WQ5PWuqu
Midnights (The Til Dawn Edition),17,High Infidelity,231475,False,66,0.726,0.564,0.545,0.0,10,0.0878,-10.17,0.104,176.082,4,0.766,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:1SztNGCwEHJEVFx90E5g7D
Midnights (The Til Dawn Edition),18,Glitch,148781,False,65,0.318,0.677,0.451,0.0,11,0.11,-9.744,0.19,140.845,4,0.399,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:7C0w28EsX0Um2FrZs9gso2
Midnights (The Til Dawn Edition),19,"Would've, Could've, Should've",260361,False,68,0.435,0.482,0.837,0.00147,0,0.123,-6.501,0.12,157.96,4,0.534,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:4txojlesMFQZGWxwz2EeqB
Midnights (The Til Dawn Edition),20,Dear Reader,225194,False,65,0.497,0.475,0.386,0.00104,0,0.119,-12.038,0.0737,107.601,4,0.162,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:10GRRCR5fctuOF4GFmATJI
Midnights (The Til Dawn Edition),21,Hits Different,234466,True,81,0.148,0.672,0.782,4.73e-06,5,0.296,-6.499,0.0421,106.026,4,0.239,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:3xYJScVfxByb61dYHTwiby
Midnights (The Til Dawn Edition),22,Snow On The Beach (feat. More Lana Del Rey),229942,True,81,0.806,0.664,0.401,3.5e-06,6,0.108,-10.934,0.0344,109.846,4,0.315,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:4zmKGsrXjLmljb5fTaBTot
Midnights (The Til Dawn Edition),23,Karma (feat. Ice Spice),201493,True,74,0.0623,0.615,0.616,0.0,8,0.579,-6.523,0.0622,89.977,4,0.0734,spotify:album:1fnJ7k0bllNfL1kVdNVW1A,spotify:track:4i6cwNY6oIUU2XZxPIw82Y
Red (Taylor's Version),1,State Of Grace (Taylor's Version),295413,False,72,0.000328,0.594,0.713,0.0,9,0.114,-5.314,0.0503,129.958,4,0.328,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:6lzc0Al0zfZOIFsFvBS1ki
Red (Taylor's Version),2,Red (Taylor's Version),223093,False,80,0.00108,0.516,0.777,1.62e-06,1,0.0761,-4.908,0.0375,125.047,4,0.408,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:4OAuvHryIVv4kMDNSLuPt6
Red (Taylor's Version),3,Treacherous (Taylor's Version),242720,False,73,0.0344,0.645,0.593,0.000127,2,0.13,-6.506,0.0288,109.984,4,0.299,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:3S7HNKPakdwNEBFIVTL6dZ
Red (Taylor's Version),4,I Knew You Were Trouble (Taylor's Version),219760,False,80,0.0129,0.584,0.557,0.0,6,0.0576,-6.371,0.0342,154.008,4,0.767,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:6AtZLIzUINvExIUy4QhdjP
Red (Taylor's Version),5,All Too Well (Taylor's Version),329160,False,78,0.0171,0.44,0.528,0.00203,0,0.234,-7.809,0.0317,185.972,4,0.132,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:3nsfB1vus2qaloUdcBZvDu
Red (Taylor's Version),6,22 (Taylor's Version),230960,False,80,0.000443,0.642,0.695,1.02e-05,7,0.0753,-5.62,0.0281,103.984,4,0.642,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:3yII7UwgLF6K5zW3xad3MP
Red (Taylor's Version),7,I Almost Do (Taylor's Version),244586,False,71,0.0167,0.511,0.559,0.0,4,0.113,-6.587,0.0264,145.88,4,0.248,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:2r9CbjYgFhtAmcFv1cSquB
Red (Taylor's Version),8,We Are Never Ever Getting Back Together (Taylor's Version),193146,False,81,0.0317,0.567,0.686,1.86e-06,7,0.0732,-6.139,0.175,172.014,4,0.716,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:5YqltLsjdqFtvqE7Nrysvs
Red (Taylor's Version),9,Stay Stay Stay (Taylor's Version),205786,False,71,0.0848,0.693,0.681,0.0,0,0.0768,-7.039,0.025,100.02,4,0.663,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:7eQj6r5PIdYKEIZjucBMcq
Red (Taylor's Version),10,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),299080,False,74,0.0399,0.502,0.534,0.0,2,0.0977,-5.954,0.0278,94.05,4,0.155,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:0y6kdSRCVQhSsHSpWvTUm7
Red (Taylor's Version),11,Holy Ground (Taylor's Version),202960,False,70,0.0288,0.622,0.809,0.00218,9,0.109,-5.623,0.0638,156.894,4,0.511,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:7J4b3LVCIGO4CMBDFLPoP6
Red (Taylor's Version),12,Sad Beautiful Tragic (Taylor's Version),284773,False,72,0.622,0.601,0.406,9.19e-05,7,0.133,-11.827,0.0275,130.059,3,0.232,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:73qMN9bXy7MSPwwGfH3wQr
Red (Taylor's Version),13,The Lucky One (Taylor's Version),240466,False,70,0.066,0.686,0.571,0.0,4,0.0608,-7.138,0.05,117.889,4,0.538,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:4e5ayHsOLJNLTGfjau2mEw
Red (Taylor's Version),14,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),245426,False,76,0.271,0.498,0.61,0.0,6,0.223,-5.098,0.0363,79.918,4,0.474,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:7qEUFOVcxRI19tbT68JcYK
Red (Taylor's Version),15,Starlight (Taylor's Version),220413,False,69,0.00324,0.628,0.685,0.0,4,0.18,-5.864,0.0358,126.014,4,0.605,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:7A2cNLRT0YJc1yjxHlKihs
Red (Taylor's Version),16,Begin Again (Taylor's Version),238866,False,73,0.075,0.519,0.527,0.0,7,0.132,-7.673,0.0274,78.915,4,0.267,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:05GsNucq8Bngd9fnd4fRa0
Red (Taylor's Version),17,The Moment I Knew (Taylor's Version),285280,False,70,0.0494,0.636,0.402,0.0,7,0.107,-7.855,0.031,125.952,4,0.208,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:0NRHj8hDwwmSPaA41o379r
Red (Taylor's Version),18,Come Back...Be Here (Taylor's Version),223333,False,73,0.0158,0.46,0.632,0.0,4,0.0822,-6.031,0.0302,79.846,4,0.399,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:4pNApnaUWAL2J4KO2eqokq
Red (Taylor's Version),19,Girl At Home (Taylor's Version),220520,False,68,0.00955,0.691,0.736,1.88e-05,5,0.101,-6.974,0.0326,125.089,4,0.612,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:0DMVrlMUn01M0IcpDbwgu7
Red (Taylor's Version),20,State Of Grace (Acoustic Version) (Taylor's Version),321640,False,67,0.663,0.445,0.131,1.57e-06,7,0.108,-13.778,0.0564,208.918,3,0.101,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:5jAIouBES8LWMiriuNq170
Red (Taylor's Version),21,Ronan (Taylor's Version),264253,False,65,0.661,0.623,0.279,0.0,0,0.193,-10.802,0.031,116.04,4,0.38,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:7nWui6jiMM2m9qFmET1Mtj
Red (Taylor's Version),22,Better Man (Taylor's Version) (From The Vault),297013,False,74,0.214,0.473,0.579,0.0,4,0.0877,-5.824,0.0384,73.942,4,0.255,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD
Red (Taylor's Version),23,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),258812,False,78,0.817,0.606,0.377,0.0,0,0.154,-9.455,0.0275,101.96,4,0.446,spotify:album:6kZ42qRrzov54LcAk4onW9,spotify:track:01K4zKU104LyJ8gMb7227B
